review_scores_value,accommodates,bathrooms,bedrooms,beds,cancellation_policy,id,host_is_superhost,extra_people,property_type,room_type,price,neighbourhood_cleansed
9.0,4,1.0,1.0,2.0,strict,7021544,0.0,10.0,Apartment,Entire home/apt,145.0,East Queen Anne
10.0,5,1.0,1.0,4.0,moderate,1323446,1.0,25.0,Apartment,Entire home/apt,98.0,East Queen Anne
9.0,4,1.0,1.0,1.0,strict,3925573,0.0,0.0,Apartment,Entire home/apt,130.0,East Queen Anne
10.0,4,1.0,1.0,2.0,moderate,8723086,0.0,0.0,Apartment,Entire home/apt,85.0,East Queen Anne
10.0,1,1.0,1.0,1.0,moderate,781474,0.0,0.0,Boat,Entire home/apt,85.0,East Queen Anne
,4,1.0,1.0,2.0,strict,9812439,0.0,0.0,Apartment,Entire home/apt,73.0,East Queen Anne
10.0,4,1.0,1.0,2.0,moderate,3401644,0.0,50.0,Apartment,Entire home/apt,150.0,East Queen Anne
,3,1.0,1.0,1.0,strict,10036903,0.0,0.0,Apartment,Entire home/apt,85.0,East Queen Anne
10.0,6,2.0,3.0,3.0,strict,5310193,0.0,0.0,House,Entire home/apt,190.0,East Queen Anne
9.0,2,1.0,1.0,1.0,moderate,5308875,1.0,0.0,Apartment,Entire home/apt,68.0,East Queen Anne
9.0,2,1.5,1.0,1.0,moderate,5052459,1.0,0.0,Apartment,Entire home/apt,149.0,East Queen Anne
9.0,10,2.0,2.0,5.0,strict,7228499,0.0,0.0,House,Entire home/apt,349.0,East Queen Anne
10.0,2,1.0,1.0,1.0,strict,7651653,0.0,0.0,Apartment,Entire home/apt,105.0,East Queen Anne
10.0,4,1.5,1.0,2.0,strict,1494986,1.0,10.0,Apartment,Entire home/apt,145.0,East Queen Anne
9.0,2,1.0,1.0,1.0,moderate,1783382,0.0,10.0,Apartment,Entire home/apt,150.0,East Queen Anne
10.0,4,2.0,2.0,1.0,moderate,7513198,0.0,75.0,Condominium,Entire home/apt,275.0,East Queen Anne
10.0,4,1.0,2.0,3.0,moderate,8308316,0.0,0.0,Apartment,Entire home/apt,165.0,East Queen Anne
10.0,5,2.0,3.0,3.0,flexible,9694921,0.0,25.0,House,Entire home/apt,196.0,East Queen Anne
8.0,4,1.0,1.0,2.0,strict,2472850,0.0,0.0,Apartment,Entire home/apt,195.0,East Queen Anne
9.0,4,2.0,2.0,2.0,moderate,5487522,0.0,10.0,Apartment,Entire home/apt,200.0,East Queen Anne
10.0,2,1.5,1.0,1.0,strict,4016650,1.0,0.0,House,Private room,90.0,East Queen Anne
,4,1.0,1.0,1.0,flexible,10229434,0.0,0.0,Apartment,Entire home/apt,100.0,East Queen Anne
9.0,2,1.0,1.0,1.0,moderate,3479241,0.0,25.0,Apartment,Private room,125.0,East Queen Anne
9.0,8,1.5,3.0,5.0,strict,5848400,0.0,0.0,House,Entire home/apt,250.0,East Queen Anne
10.0,2,1.5,1.0,1.0,moderate,6077760,1.0,0.0,House,Private room,130.0,East Queen Anne
8.0,2,1.0,1.0,1.0,moderate,4642956,0.0,25.0,Apartment,Entire home/apt,209.0,East Queen Anne
10.0,4,1.0,1.0,2.0,strict,1167507,1.0,20.0,Apartment,Entire home/apt,110.0,East Queen Anne
10.0,4,1.0,1.0,2.0,strict,6044106,0.0,0.0,Apartment,Entire home/apt,90.0,East Queen Anne
10.0,2,1.0,1.0,1.0,flexible,1799255,0.0,0.0,House,Private room,90.0,East Queen Anne
10.0,2,1.0,1.0,1.0,flexible,8941768,0.0,0.0,Apartment,Entire home/apt,130.0,East Queen Anne
10.0,2,1.0,1.0,1.0,flexible,6569950,0.0,0.0,Apartment,Entire home/apt,175.0,East Queen Anne
9.0,8,3.5,3.0,3.0,moderate,7733192,1.0,45.0,House,Entire home/apt,749.0,East Queen Anne
,4,2.0,2.0,2.0,strict,9215782,0.0,0.0,Condominium,Entire home/apt,115.0,East Queen Anne
10.0,4,1.5,2.0,2.0,strict,5175631,1.0,20.0,Apartment,Entire home/apt,165.0,East Queen Anne
,4,1.0,1.0,2.0,flexible,6315614,0.0,0.0,Apartment,Entire home/apt,109.0,East Queen Anne
10.0,2,1.0,0.0,1.0,moderate,9134193,0.0,0.0,Apartment,Entire home/apt,80.0,East Queen Anne
10.0,6,2.0,3.0,4.0,strict,2481189,1.0,0.0,House,Entire home/apt,285.0,East Queen Anne
10.0,2,1.0,1.0,1.0,strict,8535897,0.0,20.0,House,Private room,80.0,East Queen Anne
,1,1.0,1.0,1.0,flexible,9476826,0.0,0.0,Condominium,Private room,75.0,East Queen Anne
9.0,2,1.0,1.0,1.0,moderate,3144311,0.0,10.0,Apartment,Entire home/apt,68.0,East Queen Anne
,2,1.0,1.0,1.0,strict,9370007,0.0,15.0,Apartment,Entire home/apt,85.0,East Queen Anne
10.0,4,1.0,1.0,2.0,strict,6781308,1.0,0.0,Apartment,Entire home/apt,125.0,East Queen Anne
9.0,2,1.0,1.0,1.0,moderate,160222,0.0,50.0,Apartment,Entire home/apt,110.0,East Queen Anne
